,City,Population,Zip Codes
154,Cary,"168,160
","27511-27513, 27518, 27519"
155,Springfield,"168,122
",65800-65899
156,Fort Collins,"167,830
",80521–80528
157,Jackson,"164,422
",39200-39299
158,Alexandria,"160,530
","22301 to 22315, 22320 to 22336"
159,Hayward,"159,620
","94540–94546, 94552, 94557"
160,Lancaster,"159,053
","93534–93536, 93539, 93584"
161,Lakewood,"156,798
","Denver 80214-80215, 80227, 80226-80228, 80232, 80235-80236Golden 80401Littleton 80123"
162,Clarksville,"156,794
",37040-37044
163,Palmdale,"156,667
","93550–93552, 93590, 93591, 93599"
164,Salinas,"156,259
","93901–93902, 93905–93907, 93912, and 93915"
165,Springfield,"155,032
","01101, 01103–01105, 01107–01109, 01118-01119, 01128–01129, 01151"
166,Hollywood,"154,823
","33004, 33009, 33019-33021, 33023, 33024, 33312, 33314, 33316"
167,Pasadena,"153,219
","77501-77507, 77059, 77586"
168,Sunnyvale,"153,185
",94085–94090
169,Macon,"153,095
",31200–31299
170,Kansas City,"152,958
","66101-66113, 66115, 66117-66119, 66160"
171,Pomona,"152,361
",91766–91768
172,Escondido,"152,213
","92025–92027, 92029"
173,Killeen,"149,103
","76540, 76541, 76542, 76543, 76548, 76549"
174,Naperville,"148,304
",N/A
175,Joliet,"148,099
","60431, 60432, 60433, 60434, 60435, 60436, 60586"
176,Bellevue,"147,599
",98004-98009
177,Rockford,"146,526
","61101-61110, 61112, 61114, 61125, 61126"
178,Savannah,"145,862
",31401-31499
179,Paterson,"145,627
","07501-07505, 07508-07514, 07522, 07524, 07533, 07538, 07543, 07544[13]"
180,Torrance,"145,182
",90501–90510
181,Bridgeport,"144,900
","06601, 06602, 06604, 06605, 06606, 06607, 06608, 06610, 06650, 06673, 06699[3]"
182,McAllen,"143,433
",78501-78504
183,Mesquite,"142,816
","75149, 75150, 75181"
184,Syracuse,"142,749
",N/A
185,Midland,"142,344
",79701-12
186,Pasadena,"141,371
","91101–91110, 91114–91118, 91121, 91123–91126, 91129, 91182, 91184, 91185, 91188, 91189, 91199"
187,Murfreesboro,"141,344
",37127-37133
